impactType,impactTitle,impactNumber,impactPercentage
REGION,GLOBAL,62072207,45.5
REGION,AFRICA,23412826,14.5
REGION,ASIA,33052497,24.2
REGION,EUROPE,13494436,9.9
REGION,AMERICAS,2177743,1.6
REGION,MIDDLE EAST,2335957,1.4
DISSEMINATION,WEBSITE,1320406,1
DISSEMINATION,EMAIL,52007,0
DISSEMINATION,SOCIAL MEDIA,89642128,65.5
DISSEMINATION,TEXTS,253879,0.2
DISSEMINATION,PRINT MEDIA,401301,0.3
DISSEMINATION,RADIO,21096403,15.4
DISSEMINATION,VIDEO,6198152,4.5
DISSEMINATION,WEBINAR,22276,0
DISSEMINATION,OTHERS,17560444,12.9
